geo,name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,,,,,,,0.00085,0.0009,0.00197,0.00193,0.00189,0.00364,0.0053,,0.00491,0.00474,0.00457,0.02089,0.02536,0.02573,0.04354,0.05199,0.06801,0.06642,0.07963,0.08009
ago,Angola,,,,,,,,,0.03726,0.05631,0.07388,0.06692,0.06439,0.06531,0.08147,0.08516,0.32308,0.54539,0.29032,0.32055,0.35007,0.36777,0.36326,0.39093,0.3867,0.37367
alb,Albania,,,,,,,,0.00884,,0.33081,2.13837,3.10656,3.60359,4.40357,5.5013,6.27864,7.16191,8.37878,9.19224,10.4757,12.5058,15.1193,17.7209,19.6304,20.6989,22.5049
and,Andorra,,,,,1.72616,5.18234,8.45207,13.3568,18.3653,22.6266,24.7584,27.3472,30.3596,33.1216,35.017,36.8833,39.017,42.5278,45.0118,46.4786,47.4482,47.543,48.656,50.2769,51.2051,51.7401
are,UAE,,0.01185,0.05648,0.22489,0.42034,0.72337,1.2677,2.77226,4.80366,6.75244,8.84669,10.294,11.3401,12.0422,12.7381,13.3038,13.2546,14.2305,14.3683,29.9083,32.3591,32.4803,34.3453,36.5005,36.8486,37.0968
arg,Argentina,,,,0.24984,0.38917,0.67366,1.3986,2.36307,3.99704,6.49728,7.70515,8.59391,9.75627,10.956,12.2115,14.6798,15.153,15.7689,16.5185,17.7082,18.9759,19.5519,21.1798,23.15,24.6832,25.3581
arm,Armenia,,,,0.00019,0.00026,0.00033,0.03308,0.06619,,0.1311,0.46618,1.35419,3.19289,5.49292,7.25581,8.31673,9.33763,9.80149,10.2498,10.8173,11.9399,13.2819,14.8884,16.2566,17.7301,18.5458
atg,Antigua and Barbuda,,,,,,,2.11131,7.28668,1.91182,2.77343,6.0136,19.0251,8.34388,6.94991,14.9782,17.7678,12.1151,11.1846,10.2935,9.94827,,8.75618,8.71023,8.66279,10.6818,
aus,Australia,,,,0.63412,1.31715,2.60754,5.04822,9.93373,18.9407,,24.8706,23.9682,24.8853,24.6978,25.0956,25.7399,27.7001,28.5118,30.3083,32.0326,33.5486,34.5434,35.3468,35.836,36.3933,36.6047
aut,Austria,,0.63694,2.37741,3.98646,5.58055,7.39911,10.6442,14.2663,17.3158,19.5493,20.7731,22.5106,24.5114,24.9926,25.2645,26.3223,27.5977,28.4069,28.8776,28.5426,28.515,28.3632,29.2106,29.2537,29.2343,29.3725
aze,Azerbaijan,,,,,0.01201,,,0.0254,0.0454,0.16538,0.67094,1.10542,5.19627,10.5213,14.6072,18.0146,19.7076,19.4759,18.2771,18.1092,18.8342,19.2178,19.5986,20.0857,20.3656,20.8825
bdi,Burundi,,,,,,,,,,,0.00188,0.00179,0.00375,0.00511,0.00697,0.01469,0.01574,0.02508,0.02887,0.03401,0.03318,0.03175,0.03353,0.03049,0.03007,0.02034
bel,Belgium,0.10722,0.22496,1.40674,4.47177,7.89142,11.9786,15.5446,19.187,23.2412,25.6894,27.8486,29.1619,30.8426,32.1032,33.2388,34.3085,35.782,36.5492,37.6813,38.4911,39.4007,39.9518,41.024,43.0218,43.5657,43.7026
ben,Benin,,,,,0.00027,0.00027,0.00099,0.00233,0.01723,0.00793,0.09128,0.20044,0.27593,0.37187,0.40164,0.39665,0.41178,0.64488,0.19062,0.23767,0.21831,0.19986,0.22939,0.15417,0.15307,0.17088
bfa,Burkina Faso,,,,,0.00039,0.00111,0.00114,0.00276,0.01193,0.04544,0.06728,0.07605,0.08472,0.0844,0.08344,0.07325,0.02967,0.04981,0.06405,0.06213,0.06761,0.05732,0.06508,0.07407,0.06691,
bgd,Bangladesh,,,,,,,,,,0.02954,0.03345,0.20991,0.27238,0.30503,0.38722,0.97445,1.95814,3.06992,4.09944,4.50131,4.92462,4.90289,6.04506,6.64247,7.1702,7.89246
bgr,Bulgaria,,,,,,,0.08583,2.15033,5.03478,8.29162,11.1942,13.3284,15.1221,17.0297,18.2007,19.5682,20.5011,22.4944,23.8177,25.3925,27.1034,28.8837,30.5043,32.7688,34.9668,37.0236
bhr,Bahrain,,,,0.16801,0.66206,1.20021,1.71624,2.29808,3.8837,6.45476,8.35342,11.7871,12.7684,24.158,24.2856,23.8669,21.9044,18.4749,16.2552,13.1015,8.43442,9.49013,10.1824,16.5058,18.0026,17.1582
bhs,Bahamas,,,,1.26252,2.27373,3.25996,3.768,3.89132,4.7624,5.80188,7.12052,8.70676,6.72204,4.16863,20.7554,19.129,20.1853,21.0247,21.9371,22.2462,20.6785,20.8513,20.9668,20.7423,21.1356,23.8163
bih,Bosnia and Herzegovina,,,0.00065,0.00163,0.00509,0.0359,0.16028,0.33448,0.98443,2.11019,4.77411,7.52909,10.2559,11.4984,12.7897,14.2931,15.2155,18.0469,19.0748,20.4261,21.1505,22.295,23.3508,24.5891,27.319,28.5064
blr,Belarus,,,,,0.0002,0.00125,0.0077,0.01618,0.11885,1.77563,5.01587,11.4889,17.5606,22.1485,26.755,29.4348,28.3377,30.6041,32.293,33.3125,33.7712,34.0724,34.8152,35.0098,34.0672,35.0932
blz,Belize,,,,,,0.35636,1.04053,1.7953,2.51669,2.52617,2.6439,2.66783,2.78381,2.96305,2.98223,2.8979,2.8373,4.87718,5.03804,5.09268,6.48509,7.67179,9.21159,9.10595,9.75386,
bol,Bolivia,,,,,0.03741,0.06342,0.09477,0.13859,0.18473,0.35079,0.80515,0.95978,0.9423,0.71062,1.10983,1.44251,1.59263,1.64281,2.57235,3.34958,4.38026,6.39917,7.88672,9.44574,10.9975,
bra,Brazil,0.00058,0.00403,0.05747,0.18775,0.40952,0.53496,1.72846,1.75095,2.55394,4.03572,5.26189,6.10683,7.27968,9.13182,9.71151,10.7622,11.9791,12.6354,13.2177,14.1218,15.1538,15.8622,17.4181,19.8363,20.9534,22.4192
brb,Barbados,,,,,,10.279,11.085,11.8873,14.3703,17.3738,18.0467,20.9048,20.4147,22.6821,24.1513,24.4172,27.9255,28.0544,31.0757,31.8877,31.8263,37.9802,45.4387,36.3513,37.4843,
brn,Brunei,,,,0.56878,0.81065,1.10721,1.77439,2.26404,2.45816,3.13234,4.47097,5.20299,5.53077,5.80512,4.89426,6.70157,7.26071,8.15349,8.44786,9.49045,11.2953,12.2425,15.8868,17.581,19.805,20.212
btn,Bhutan,,,,,,,,,,,0.30014,0.48675,1.2364,1.86544,2.33744,2.8239,3.40713,3.76361,2.20481,2.2148,1.42177,1.14719,0.41415,0.36457,0.63182,1.31882
bwa,Botswana,,,,,,,,0.08696,0.09602,0.18522,0.45642,0.50234,0.58915,0.92234,1.05453,1.00856,1.53266,1.67228,2.64264,1.43086,1.74169,2.10301,3.58604,5.54838,4.53192,3.41003
caf,Central African Republic,,,,,,,,,,,,,,0.01774,0.01312,,,0.04014,0.01561,0.01291,0.01246,0.01009,,0.00976,0.01608,
